checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.5 0.6666666666666667 0.8 0.25 0.75 0.8 0.26666666666666666 0.25 0.125 0.33333333333333337 0.25 0.125 0.25 0.16666666666666669 0.33333333333333337 0.25 0.25 0.25 0.25 0.16666666666666666 27.74991493
0.75 0.6666666666666667 0.06666666666666665 0.06666666666666665 0.75 0.8 0.19999999999999996 0.5 0.25 0.33333333333333337 0.125 0.25 0.25 0.22222222222222224 0.11111111111111112 0.25 0.75 0.5 0.16666666666666666 0.5 49.89024998
0.75 0.33333333333333337 0.2 0.09999999999999998 0.125 0.6 0.2 0.16666666666666666 0.25 0.22222222222222224 0.375 0.375 0.25 0.33333333333333337 0.6666666666666667 0.125 0.75 0.25 0.25 0.16666666666666666 27.75314111
0.5 0.16666666666666669 0.09999999999999998 0.35 0.125 0.4 0.2 0.25 0.125 0.16666666666666669 0.125 0.25 0.25 0.22222222222222224 0.16666666666666669 0.25 0.375 0.16666666666666666 0.16666666666666666 0.25 82.25861910
0.375 0.33333333333333337 0.3 0.45 0.375 0.3 0.09999999999999998 0.16666666666666666 0.125 0.16666666666666669 0.25 0.25 0.125 0.22222222222222224 0.33333333333333337 0.125 0.125 0.25 0.25 0.16666666666666666 51.57620650
0.5 0.33333333333333337 0.09999999999999998 0.35 0.375 0.3 0.3 0.375 0.125 0.33333333333333337 0.25 0.125 0.25 0.16666666666666669 0.16666666666666669 0.375 0.375 0.25 0.25 0.25 9.98206964
0.75 0.11111111111111112 0.4 0.30000000000000004 0.75 0.4 0.2 0.75 0.375 0.6666666666666667 0.125 0.25 0.25 0.33333333333333337 0.33333333333333337 0.375 0.75 0.16666666666666666 0.5 0.5 18.14024990
0.25 0.33333333333333337 0.3 0.09999999999999998 0.25 0.6 0.4 0.25 0.25 0.16666666666666669 0.375 0.25 0.375 0.33333333333333337 0.16666666666666669 0.375 0.375 0.16666666666666666 0.25 0.25 29.59188269
0.375 0.33333333333333337 0.3 0.4 0.375 0.19999999999999996 0.2 0.375 0.375 0.16666666666666669 0.125 0.25 0.125 0.33333333333333337 0.22222222222222224 0.125 0.375 0.25 0.25 0.25 28.35276452
0.75 0.33333333333333337 0.09999999999999998 0.06666666666666665 0.375 0.19999999999999996 0.19999999999999998 0.25 0.125 0.16666666666666669 0.25 0.375 0.25 0.33333333333333337 0.33333333333333337 0.25 0.25 0.16666666666666666 0.25 0.25 58.30840259
0.25 0.6666666666666667 0.2 0.09999999999999998 0.375 0.6 0.3 0.25 0.16666666666666666 0.16666666666666669 0.125 0.375 0.125 0.16666666666666669 0.33333333333333337 0.16666666666666666 0.25 0.16666666666666666 0.25 0.25 50.44319055
0.25 0.33333333333333337 0.19999999999999996 0.09999999999999998 0.25 0.19999999999999996 0.2 0.16666666666666666 0.25 0.16666666666666669 0.25 0.125 0.375 0.33333333333333337 0.33333333333333337 0.25 0.125 0.25 0.25 0.25 41.00766355
0.375 0.33333333333333337 0.09999999999999998 0.45 0.375 0.4 0.09999999999999998 0.375 0.25 0.33333333333333337 0.125 0.375 0.125 0.22222222222222224 0.33333333333333337 0.25 0.25 0.16666666666666666 0.16666666666666666 0.25 87.91179797
