Recency Frequency Monetary Time Runtime
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08171298
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08181007
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08179910
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09544798
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08147756
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08183934
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08152517
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08178172
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09538945
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06832705
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06407446
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06835166
